Location,Ticket Count
ALI,0
BAK,1
BAT,0
CAS,0
DAL,0
DEN,0
DKN,0
DIL,0
ELR,0
LAK,0
FTW,1
GRE,0
HOB,0
HOU,0
LAF,0
KIL,0
ODE,0
OKC,4
OKW,0
POM,1
PAS,1
PIT,0
SAN,0
SLC,0
VER,1
WIL,0
COR,0
LAC,0
MWH,0
CHR,1
CALAX,0
